         13555 function calls (13332 primitive calls) in 10.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       37    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        8    0.000    0.000    0.000    0.000 __init__.py:3628(set)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      157    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      104    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:671(Misc)
        1    0.000    0.000    0.135    0.135 __init__.py:2326(__init__)
       24    0.000    0.000    0.000    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
     43/8    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       77    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     11/5    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap_external>:993(exec_module)
        9    0.000    0.000    0.001    0.000 _parser.py:969(parse)
       15    0.000    0.000    0.000    0.000 __init__.py:3212(__init__)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       10    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
      100    0.000    0.000    0.000    0.000 _parser.py:261(get)
       66    0.000    0.000    0.000    0.000 enum.py:1543(_get_value)
       41    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       71    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        9    0.000    0.000    0.000    0.000 _compiler.py:578(_code)
        3    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:2360(_loadtk)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
        3    0.000    0.000    0.000    0.000 __init__.py:3143(get)
        8    0.000    0.000    0.001    0.000 __init__.py:3279(delete)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
       10    0.000    0.000    0.000    0.000 app.py:68(fr)
       10    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       26    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       48    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      108    0.000    0.000    0.000    0.000 _parser.py:256(match)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        1    0.000    0.000    0.000    0.000 ttk.py:1(<module>)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        5    0.000    0.000    0.010    0.002 app.py:71(lbl)
       32    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       39    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.000    0.000 __init__.py:2396(readprofile)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     13/8    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
       41    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       19    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
       18    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
       29    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       87    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       15    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        2    0.000    0.000    0.000    0.000 __init__.py:380(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:1413(_missing_)
        2    0.000    0.000    0.000    0.000 app.py:103(scrollbar)
        7    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        3    0.000    0.000    0.000    0.000 app.py:39(load_json)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       52    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       87    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       39    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
        2    0.000    0.000    0.002    0.001 app.py:74(entry)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
        3    0.000    0.000    0.000    0.000 decoder.py:344(raw_decode)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       30    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       12    0.000    0.000    0.000    0.000 __init__.py:1412(bind)
       32    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       11    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        9    0.000    0.000    0.000    0.000 <frozen codecs>:186(__init__)
       60    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        3    0.000    0.000    0.000    0.000 __init__.py:274(load)
       26    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 decoder.py:333(decode)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1291(create_module)
       44    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       38    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
       31    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:2764(Canvas)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       15    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       39    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        4    0.000    0.000    0.000    0.000 enum.py:1550(__or__)
        2    0.000    0.000    0.001    0.000 app.py:90(listbox)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 __init__.py:3634(Text)
       31    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:3139(delete)
        2    0.000    0.000    0.000    0.000 <frozen os>:791(encode)
       30    0.000    0.000    0.000    0.000 _parser.py:176(append)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f22a3733060}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
        2    0.000    0.000    0.000    0.000 app.py:100(divider)
        1    0.000    0.000    0.000    0.000 messagebox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
